delo,kraj,Regija,plačilo,naslov,datum_pričetka,delovnik,število_članov,trajanje,šifra,opis,podjetje
PROGRAMIRANJE,LJUBLJANA,LJUBLJANA Z OKOLICO,"7.10 EUR/h NETO, 8.40 EUR/h BRUTO",DUNAJSKA CESTA 151,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326791,Iščejo Java ali C#/.NET programerje za sodelovanje pri razvoju sodobnih spletnih aplikacij. Pričakujejo osnovno znanje objektnega programiranja v Javi ali C#. Delo poteka v skupini. Pri delu bo pomagal mentor. Zaželeni študenti zadnjega letnika Fakultete za računalništvo in informatiko (1. ali 2. bol. stopnja) oz. drugih naravoslovnih fakultet. Po zaključku študija je možna redna zaposlitev.,IXTLAN TEAM D.O.O.
PAKIRANJE,BRNIK,KRANJ Z OKOLICO,"6.00 EUR/h NETO, 7.10 EUR/h BRUTO",ZGORNJI BRNIK 390,11.11.2020,DOPOLDAN,10,2 DO 3 MESECE,326790,"Uspešno podjetje s spletno trgovino išče več oseb za delo v skladišču. Delo zavzema predvsem pakiranje. Zainteresirani, ki imate voljo do dela,   pošljite prijavo na email.",HS PLUS D.O.O.
DELO NA RAČUNALNIKU,LJUBLJANA,LJUBLJANA Z OKOLICO,"6.00 EUR/h NETO, 7.10 EUR/h BRUTO",PODHOD AJDOVŠČINA 4,10.11.2020,PO DOGOVORU,1,PO DOGOVORU,326789,Podjetje išče študenta/ko za sestavljanje opisov izdelkov za spletno trgovino. Pogoj so izkušnje s podobnimi deli.,FEIDA D.O.O.
ADMINISTRATIVNA DELA,LJUBLJANA,LJUBLJANA Z OKOLICO,"5.92 EUR/h NETO, 7.00 EUR/h BRUTO",KVEDROVA 5 A,16.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326788,"Pričakujejo: zaklj. let. ali abs. ekon. ali tehn. smeri, dobro znanje MS Office orodij, zaželene izkušnje z MS CRM, dobre komunik. in org. sposobnosti. Delo obsega različna admin. dela, poudarek na prodaji in marketingu, opravljanje različnih kontrol in evidenc, delo s posl. partnerji in sodelavci, priprava webinarjev, Linkedin. Nudijo: razgibano in zanimivo delo, odlične razvojne možnosti, fiksno+stimulativno plačilo, zaposlitev v uspešnem rastočem podjetju. Prijava in CV na e-naslov.",TELPROM INFORMACIJSKE TEHNOLOGIJE D.O.O.
STREŽBA,MARIBOR-POBREŽJE,MARIBOR Z OKOLICO,"4.80 EUR/h NETO, 5.68 EUR/h BRUTO",BORCEV ZA SEVERNO MEJO 6,1.12.2020,PO DOGOVORU,2,DLJE ČASA (OBČASNO),326787,"Podjetje potrebuje dve zanesljivi osebi za strezbo pijace v mirnem lokalu in prijetnem kolektivu. Izkusnje so zaželene, predvsem pa dobra volja in želja po tem delu. Če se vidiš v njihovem timu, jih kontaktiraj.

Delo se začne takoj po sprostitvi ukrepov",TNS-G D.O.O.
TELEFONSKI MARKETING,LJUBLJANA,LJUBLJANA Z OKOLICO,"7.00 EUR/h NETO, 8.28 EUR/h BRUTO",ŠTUKLJEVA CESTA 40,11.11.2020,PO DOGOVORU,6,PO DOGOVORU - 2 DO 3 MESECE,326785,"Zaradi hitre rasti in širjenja podjetja iščejo prodajne referente. Ne zamudi priložnosti in se pridruži mlademu kolektivu podjetja, ki trži programske rešitve v avtomobilski industriji.

Sprva gre za telefonsko prodajo, lahko pa hitro napredujete v druge funkcije. Pogoji: polnoletnost, zagnanost in komunikativnost. Vloge sprejemajo preko spletnega obrazca.","BRIEFD, DRUŽBA ZA RAZVOJ MOBILNOSTI D.O.O."
ADMINISTRATIVNA DELA,LJUBLJANA,LJUBLJANA Z OKOLICO,"7.00 EUR/h NETO, 8.28 EUR/h BRUTO",BABIČEVA ULICA 1,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326780,"Veleprodajno podjetje za nadaljnje uspešno poslovanje išče študenta/ko za pomoč pri administrativnih delih in različnih delih v pisarni. Zaželen je absolventski status, po možnosti ekonomske smeri študija. Možnost kasnejše zaposlitve. Pogoji: izpit B-kategorije (lasten prevoz je prednost), odlično znanje angleščine (C2, ostali tuji jeziki so prednost), poznavanje MS Office, samoiniciativnost, zagnanost, natančnost, urejenost, nekadilec/ka. Pošljite CV in predstavitveno pismo.",GROUP 22 D.O.O.
PRODAJA,PIRAN,PIRAN Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",TRŽNICA,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326778,"Iščejo osebo za prodajo zdrave prehrane in slovenskih izdelkov (med, olje, piškoti, sokovi...) na tržnici. Pogoji: starost nad 23 let, lasten prevoz in  izkušnje. Dela se 3-4 x na teden. Plačilo 5,92 € bruto + nagrada.","ZAVOD SONCE KOPER, INŠTITUT ZA HELIOTERAPIJO IN           MAGNETIZEM"
PRODAJA,IZOLA,IZOLA Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",TRŽNICA,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326777,"Iščejo osebo za prodajo zdrave prehrane in slovenskih izdelkov (med, olje, piškoti, sokovi...) na tržnici. Pogoji: starost nad 23 let, lasten prevoz in  izkušnje. Dela se 3-4 x na teden. Plačilo 5,92 € bruto + nagrada.","ZAVOD SONCE KOPER, INŠTITUT ZA HELIOTERAPIJO IN           MAGNETIZEM"
PRODAJA,KOPER,KOPER Z OKOLICO,"5.00 EUR/h NETO, 5.92 EUR/h BRUTO",TRŽNICA,10.11.2020,DOPOLDAN,1,DLJE ČASA (OBČASNO),326776,"Iščejo osebo za prodajo zdrave prehrane in slovenskih izdelkov (med, olje, piškoti, sokovi...) na  tržnici. Pogoji: starost nad 23 let, lasten prevoz in  izkušnje. Dela se 3-4 x na teden. Plačilo 5,92 € bruto + nagrada.","ZAVOD SONCE KOPER, INŠTITUT ZA HELIOTERAPIJO IN           MAGNETIZEM"
PISMONOŠA,PTUJ,PTUJ Z OKOLICO,"4.56 EUR/h NETO, 5.40 EUR/h BRUTO",PTUJ 2250 MESTO,11.11.2020,DOPOLDAN,1,PO DOGOVORU,326775,"Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za pomoč pri dostavi pisemskih pošiljk. Dostava je možna na več načinov: peš, s kolesom ali s kolesom z motorjem. Pričetek dela je ob 6.30, dela se v okolišu Ptuj - mesto. Interesenti naj pokličejo na kontakt podjetja.",POŠTA SLOVENIJE D.O.O.
NEGOVANJE,DOMŽALE,DOMŽALE-KAMNIK,"6.00 EUR/h NETO, 7.10 EUR/h BRUTO",KARANTANSKA CESTA 5,10.11.2020,IZMENSKO,10,PO DOGOVORU,326774,"Iščejo več oseb za nego starejših oseb. Zahteve: veselje do dela s starejšimi, empatičnost. Pogoj: izkušnje obvezne. Nudijo zajtrk in topel obrok.",DOM UPOKOJENCEV DOMŽALE
